"threshold","all","none","cabg only","avr only","cabg+avr","cabg+mvr","mvr only","aortic +/-other","other","double valve","not recorded"
0.35,-0.518129647572994,0,0.000542335035977916,6.9469048065633e-06,9.69873310298839e-05,-0.000333000333000334,0.000860110353781239,0.00688416641724035,0.00955104375178725,0.00306783320077264,0.00422654268808115
0.36,-0.541850423316322,0,0.000580769344228443,-5.64436015533287e-06,-9.85027580772263e-05,-0.000450937950937951,0.000712025316455696,0.00670125378296584,0.00899163568773234,0.00302806499261447,0.00439560439560439
0.37,-0.566324239559438,0,0.000517410028015061,-2.58027892815213e-05,4.75314896118678e-05,-0.000206143063285921,0.000659701292612685,0.00676301649064295,0.00849117837965422,0.00339499660031418,0.00460491889063318
0.38,-0.591587533745881,0,0.000509102466625241,-4.66114903150063e-05,-4.57561198810341e-05,6.98226504678118e-05,0.000734993875051041,0.00647811109716469,0.00793860175080945,0.00299232858436175,0.00443105281814959
0.39,-0.617679132659748,0,0.000441523735648665,-0.000158412206326717,-7.49266881112016e-05,-0.000343008539729852,0.00060870166701252,0.0056877378750186,0.00785544518252179,0.00261520207278979,0.00475589983786705
0.4,-0.64464045153741,0,0.000471990324198354,-0.0001204130166471,0,-0.000481000481000482,0.00070323488045007,0.00554834990632656,0.00718711276332094,0.00246184145741014,0.00402930402930403
0.41,-0.672515713427875,0,0.000405491687420408,-0.000140822002519489,-2.67126123599257e-05,-0.00062367011519554,0.000808124150754488,0.00604908146291777,0.0062755970008191,0.00250857471897454,0.000391134289439373
0.42,-0.701352191245597,0,0.000368233830516819,-0.00016193474652541,-5.43463492839869e-05,-0.000248793352241628,0.000923905136039575,0.00560549815883239,0.0062684271247276,0.00256710640248561,3.78931413414149e-05
0.43,-0.731200475302537,0,0.00035295767664833,-0.00020596963373846,3.59448661053738e-05,-0.00110123794334321,0.000891997927307721,0.00526391638412937,0.00639144329224548,0.00204721552774107,-0.00032774243300559
0.44,-0.762114769504368,0,0.000316064949239969,-0.000154816735689128,1.12574580659687e-05,-0.000669964955679241,0.000858951175406872,0.0051108640602804,0.00645246946362188,0.00160371386368432,-0.00180533751962323
0.45,-0.794153219858993,0,0.000303039242240989,-9.85197408930814e-05,-1.43276739021419e-05,-0.000787091696182605,0.000997314921365554,0.00338010454741972,0.00723217303142954,0.00145024842218343,-0.0032967032967033
0.46,-0.827378279486011,0,0.00029171624203926,-0.00011372340461115,9.3395207658407e-05,-0.000293944738389183,0.000757930926707298,0.00287425341467711,0.00707696544127771,0.00129109907544176,-0.0037037037037037
0.47,-0.861857114948012,0,0.000285531882445466,-0.00012950079148839,7.13680360408582e-05,-0.000394783413651338,0.000915532202850091,0.00214945876057395,0.00698604194430806,0.00132103341601405,-0.00217706821480406
0.48,-0.897662059466243,0,0.000279109662867296,-0.000145885000937832,4.84936655149421e-05,-0.0004995004995005,0.00108730931515742,0.00209518108350793,0.00686302545038605,0.00145438018406999,-0.00262045646661031
0.49,-0.934871119455777,0,0.000213436801016167,-0.000166453287718049,-0.000132882152072807,-0.000608324137735902,0.00107139902374452,0.00210659274518281,0.00529193089875355,0.00159295623714774,-0.00189614307261366
0.5,-0.973568541844892,0,0.000235995162099177,-0.000180619524970649,-0.000157604412923562,0,0.000632911392405063,0.00194552529182879,0.00557620817843866,0.00118168389955687,-0.0032967032967033
0.51,-1.01384545086214,0,0.000229974877351749,-0.000195363975988662,-0.000183335745645776,-5.88980180816917e-05,0.000615689313700163,0.00201169962148283,0.00512859418860481,0.00107316190878124,-0.00246692083426777
0.52,-1.05580056442176,0,0.000255661425607442,-0.000112887203106656,-0.000210139217231416,-0.000841750841750842,0.00059774964838256,0.00210765239948119,0.0047087980173482,0.000984736582964057,-0.00265567765567766
0.53,-1.09954100196265,0,0.000220931641114123,-0.000124896480032896,-0.000238083262076019,-0.000905713671671119,0.00036807612891642,0.00134301036693619,0.00427113817922961,0.000879977372010434,-0.001660042085574
